iter	Logloss
0	0.6093540588
1	0.5425540541
2	0.4922209582
3	0.4497424253
4	0.4178921533
5	0.3949536061
6	0.3771758197
7	0.3624829046
8	0.3500107777
9	0.3382719151
10	0.3293860809
11	0.3220736474
12	0.3167505459
13	0.3095538017
14	0.3051547131
15	0.3012700597
16	0.2980407716
17	0.2950968608
18	0.2912665475
19	0.2894425512
20	0.2866233596
21	0.284745934
22	0.2830945854
23	0.2808857
24	0.2794436729
25	0.277860065
26	0.2761565034
27	0.275202316
28	0.2741455393
29	0.2728370794
30	0.2717515647
31	0.2706954041
32	0.2695371783
33	0.2686294721
34	0.2675890949
35	0.2665420264
36	0.2655877906
37	0.2644025784
38	0.2634104305
39	0.2627060019
40	0.2620062213
41	0.2608992922
42	0.260176898
43	0.2592900057
44	0.2583649628
45	0.2578688737
46	0.2571535107
47	0.2565056568
48	0.2557992615
49	0.2552080819
50	0.2544566594
51	0.2537998109
52	0.2529637471
53	0.2524895766
54	0.2520101397
55	0.2517610557
56	0.2511887255
57	0.2505541858
58	0.2499856936
59	0.249623206
60	0.249079536
61	0.2485642092
62	0.2480871651
63	0.2475681901
64	0.247017777
65	0.2464508582
66	0.2460227124
67	0.2454724933
68	0.244871821
69	0.2443730314
70	0.2439622928
71	0.2435569699
72	0.243026965
73	0.2425802501
74	0.2422216985
75	0.2418161843
76	0.2413566423
77	0.2409245756
78	0.2406130572
79	0.240058768
80	0.2395163834
81	0.2389744308
82	0.2384694947
83	0.2380023676
84	0.237473583
85	0.2370093424
86	0.2364323951
87	0.2358521065
88	0.2356644663
89	0.235510212
90	0.2352632214
91	0.2347499217
92	0.2341094344
93	0.2335715962
94	0.2329861243
95	0.2324687036
96	0.2322354666
97	0.2319603365
98	0.2317836588
99	0.2316157664
100	0.2309337973
101	0.2307711632
102	0.230106065
103	0.229565228
104	0.2291922049
105	0.2287242426
106	0.2281766322
107	0.2278354479
108	0.2269998154
109	0.2264674259
110	0.2263144355
111	0.225966207
112	0.2257817255
113	0.2256518384
114	0.2251672746
115	0.2244071017
116	0.2241542035
117	0.2239394822
118	0.2234276389
119	0.2231170455
120	0.2229090941
121	0.222408348
122	0.2219628539
123	0.2214326856
124	0.220865413
125	0.2203819877
126	0.2202599854
127	0.2200173586
128	0.2193487624
129	0.218847313
130	0.2183658251
131	0.2181493819
132	0.2176564399
133	0.2172892275
134	0.2171252528
135	0.2169055831
136	0.2167779832
137	0.2165752394
138	0.2160637385
139	0.2159592812
140	0.2157004235
141	0.2154888672
142	0.215251592
143	0.2150314654
144	0.2149042342
145	0.214511592
146	0.2140945815
147	0.2135423266
148	0.2134350715
149	0.2131063055
150	0.2126513337
151	0.2123898732
152	0.2118476628
153	0.2116924214
154	0.2115629154
155	0.2114582904
156	0.2108491686
157	0.2105716579
158	0.210275969
159	0.2101167587
160	0.2100399795
161	0.2098371044
162	0.2092439874
163	0.2090435781
164	0.20850272
165	0.2080904978
166	0.2077369301
167	0.2076499313
168	0.2074969559
169	0.2072017563
170	0.2069363689
171	0.2064674181
172	0.2063942201
173	0.2063211694
174	0.2058299415
175	0.2053224891
176	0.2050886593
177	0.2049063136
178	0.2044249578
179	0.2043550405
180	0.2041758006
181	0.2039187602
182	0.2035229542
183	0.2034513029
184	0.2033751361
185	0.2030871521
186	0.2027992889
187	0.2026468486
188	0.2021959639
189	0.2016404113
190	0.2015554594
191	0.2012495917
192	0.2010264097
193	0.2008417186
194	0.2004862722
195	0.2004171908
196	0.2000705193
197	0.1998794613
198	0.1995216292
199	0.199454263
